Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
JavaScript avanzado: Buenas prácticas,"Las buenas prácticas son un conjunto de recomendaciones basadas en las rutinas de otros desarrolladores y gracias a ellas, tu trabajo será más comprensible, mejor organizado y tendrá un mejor rendimiento. En este curso conocerás las buenas prácticas más populares y eficaces, que harán que tu trabajo como desarrollador usando JavaScript mejore y sea más práctico al trabajar en una nueva aplicación web. Estas buenas prácticas se convertirán en el set de acciones que incorporarás en cada proyecto web y que ayudarán a que tu código sea mejor.",Course,2020-01-03 02:46 UTC,N/A,false,N/A,
Características de un gran Scrum Master,"A medida que las organizaciones adoptan las prácticas Agile, va aumentando la demanda de la función de Scrum Master. Sin embargo, aunque en la actualidad este cargo es más común, a muchos profesionales aún les cuesta saber dónde encajarlo dentro de su equipo y en sus procesos. En este curso, el formador Brandon Raines enseña a los Scrum Masters que se acaban de certificar (o a los que están aprendiendo a trabajar con ellos) cómo tener éxito con sus tareas. Brandon explora los atributos de los buenos Scrum Masters, más allá de su competencia. Descubre cómo dirigen a sus equipos al éxito mientras van eliminando obstáculos, identifican las causas de los problemas y enseñan Scrum, entre otras tareas.",Course,2022-03-15 23:10 UTC,N/A,false,N/A,
Building RESTful APIs with Node.js and Express,"Did you know you can use Node.js and Express to build a web API that can push and pull data from your applications via HTTP? You don't have to learn ASP.NET or Python. You don't even have to know that much about back-end programming. In this course, Emmanuel Henri shows you how to create a simple, RESTful web API with these two popular JavaScript libraries. He guides you through how to set up the project, including the Express server and testing environment, and create the endpoints that you need to add, update, and delete data from a MongoDB database. Plus, Emmanuel demonstrates how to serve static files such as images with your new API and explores additional libraries that can help streamline API development, such as Koa and LoopBack.",Course,2025-05-11 02:09 UTC,N/A,false,N/A,
Learning Selenium,"Selenium is one of the most popular tools for testing web-based applications. It allows QA engineers to write and automate tests across many different browsers and operating systems, without a special scripting language. This course introduces Selenium to new users, covering installation and basic use cases. Find out how to set up the test-writing framework, WebDriver, and Selenium Grid, which allows you to distribute the testing load and run tests against a remote server. Learn best practices to write effective tests using variables and functions, and to organize tests into suites that can scale over time. Instructor Meaghan Lewis—a QA engineer at GitHub—also explains the test pyramid paradigm, which details an ideal way to balance unit, integration, and UI testing.",Course,2026-03-17 15:59 UTC,2021-04-18 05:13 UTC,false,N/A,
Spring 6: Design Patterns,"Design patterns empower developers to be as effective as possible as they build software using known patterns for solving programs. Frameworks like Spring can make using these patterns even more powerful. In this course, software developer and architect Frank Moley highlights the most prevalent design patterns used by and in the Spring Framework. Learn about the core patterns in play, as well as how you can use them yourself, in the Spring framework. Explore a variety of creation patterns, structural patterns, and operational patterns. Plus, touch on other framework patterns like the observer pattern, the command pattern, the mediator pattern, and the interpreter pattern. With this knowledge of design patterns, you will be better equipped to develop with the Spring Framework for Java.",Course,N/A,N/A,true,N/A,
ChatGPT for Web Developers,"<p>Since its release in November 2022, ChatGPT has taken the world by storm. It’s a game changer for web developers, too, who can use it to improve the efficiency and productivity of their overall workflows. In this course, join instructor Sandy Ludosky for an introduction to ChatGPT for web developers.</p><p>Explore the basics of how ChatGPT works and how to start using it to generate code—coding better and faster than ever before and optimizing the appearance of webpages with CSS. Learn to converse with the ChatGPT UI to create fully realized web applications using JavaScript and ReactJS. Along the way, level up your skills with the exercise challenges at the end of each section. By the end of this course, you’ll also be equipped with new skills for prompt engineering to create next-generation ChatGPT-powered applications.</p>",Course,2023-11-16 20:51 UTC,N/A,false,N/A,
Build with AI: Leverage Claude Code Subagents in Software Projects,"<h3>Description</h3>
<h4>What is this course about?</h4>
With subagents—specialized AI assistants—in Claude Code, you can automate multiphase engineering tasks. In this course, explore how to treat this software like a coherent team to streamline architecture design, debugging, and code reviews. Learn how to integrate subagents into real-world projects for scalable, intelligent systems, and harness multiagent reasoning to accelerate development cycles and boost code quality. By the end of this course, you’ll be equipped with the tools and skills required to improve project outcomes using Claude Code subagents. </p>

<h3>Objectives</h3>
<h4>What will I be able to do by the end of this course?</h4>
<ul>
<li>Automate multiphase tasks such as architecture design, debugging, and code reviews to enhance productivity.</li>
<li>Integrate subagents into real-world projects to build scalable, intelligent engineering systems.</li>
<li>Apply multiagent reasoning to accelerate development cycles and improve code quality.</li>
<li>Develop efficient debugging and code review processes employing AI assistants.</li>
<li>Implement strategies for accelerating development cycles with collaborative subagent interactions.</li>
</ul></p>

<h3>Audience</h3>
<h4>Who is this course for?</h4>
<ul>
<li>Software developers</li>
<li>Vibe coders</li>
<li>AI enthusiasts</li>
<li>Project managers in software development</li>
<li>Engineers interested in AI-driven automation in coding environments</li>
</ul></p>",Course,2026-02-20 16:25 UTC,N/A,false,N/A,
Certification Prep: Professional in Human Resources (PHR)® (2018),"Distinguish yourself from others in the HR field by earning the Human Resources Certification Institute (HRCI®) Professional in Human Resources (PHR) certification. By taking and passing the PHR exam, you indicate to colleagues and potential employers that you boast a deep understanding of both the technical and operational aspects of HR. This course was designed to prepare you to approach your exam day with confidence. Instructor Joanne Simon-Walters provides an overview of the PHR exam content, going over key topics in each of the five functional areas: business management, talent planning and acquisition, learning and development, total rewards, and employee and labor relations. Joanne also provides tips for maximizing the course and crafting an effective study plan.</br></br> 

Disclaimer: This course is not produced nor endorsed by HRCI®.",Course,2021-03-24 22:42 UTC,N/A,false,N/A,
"Big data, recursos humanos y gestión del bienestar laboral","Sentirse bien es uno de los objetivos vitales del ser humano. Imagínate liderar una organización sin indicadores de estado ni cómo medir mejorías. ¿Qué pasaría si desde el departamento de recursos humanos pudiéramos entender mejor el momento presente? ¿Y si tuviéramos la capacidad para conocer qué opciones de bienestar se adaptan mejor a nuestro estilo de vida y al de nuestra organización? El objetivo principal de este contenido es enseñarte a tener una visión global del bienestar y la felicidad en la empresa para crear soluciones personalizables para la fuerza de trabajo con el uso del big data. En tiempos de COVID-19, esta valiosa información te será imprescindible.",Course,2022-04-07 21:03 UTC,N/A,false,N/A,
Desafío de programación: Java,"Refuerza tus conocimientos de programación en Java y mejorar tu pensamiento lógico-computacional a través de la solución de ejercicios prácticos que te supondrán un verdadero reto y te permitirá refrescar tus conocimientos. Durante el contenido se te planteará resolver una serie de minidesafíos de programación, y por cada reto y se te dará posteriormente la solución óptima. Los problemas que se se muestran son los típicos que podrías encontrar en tu práctica diaria, para que te sean útiles, y van desde un nivel iniciación-básico a alguno más avanzado.</br> Este curso está integrado con GitHub Codespaces, un entorno de desarrollo instantáneo alojado en la nube que ofrece toda la funcionalidad de tu IDE favorito sin tener que configurar una máquina local. Aprende a configurar y utilizar este IDE con el vídeo “Cómo usar GitHub Codespaces con este curso”.",Course,2023-06-20 22:33 UTC,N/A,false,N/A,
Domina React,"Expande tus habilidades con React con este curso que te instruye en conceptos más avanzados y te permite avanzar en tu dominio de esta popular librería para JavaScript enfocada en la construcción de interfaces de usuario funcionales, atractivas y esacalables. Durante el contenido repasarás de lo esencial a avanzado por las funcionalidades más importantes de React y cómo sacarle provecho en tus propios proyectos de programación. ¡No te lo pierdas!",Course,2023-11-12 05:04 UTC,N/A,true,N/A,
Learning Kubernetes (2018),"Kubernetes is the world's most popular open-source container orchestration engine. It offers the ability to schedule and manage containers—Docker or otherwise—at scale. This course introduces developers, DevOps engineers, and IT pros to Kubernetes. First, learn how to get a Kubernetes environment up and running on Mac or Windows using Minikube, and understand the components for Kubernetes. Next, deploy a sample Kubernetes application and manage it with the Kubernetes dashboard. Instructor Karthik Gaekwad also shows how to deploy a more complicated application with a database and APIs. Then learn how to run jobs and cron jobs. Finally, explore more advanced topics, including production deployments, namespaces, monitoring and logging, and authentication and authorization.",Course,2021-05-16 02:52 UTC,N/A,false,N/A,
Managing Jira Projects: 2 Managing Boards,"Learn how to configure and manage a Jira board, then dive into how boards and projects relate to each other. Discover how to manage issues and move them between projects, as well as why it’s important to track business and agile metrics for your projects. Plus, walk through how to create dashboards and how to attach gadgets to them.<br><br>Note: To check out other Atlassian University courses about Jira workflows, reporting, automation, and more, click <a href=""https://university.atlassian.com/student/catalog/list?category_ids=21560-jira-software?utm_source=linkedin-learning&utm_medium=comarketing&utm_campaign=P:uni-training*O:university*C:bio*I:linkedin-learning*"" target=""_blank"">here</a>.",Course,2024-02-20 19:13 UTC,N/A,false,N/A,
Advanced Selenium: Automation Frameworks,"Automation is about three things: balance, timing, and reaction. Selenium is the automation tool that allows you to combine all three aspects into testing. By integrating Selenium with popular languages like Java, Ruby, and Node.js, you can develop a custom test automation framework suitable for testing the most complex web and mobile apps. In this course, instructor Jain Waldrip walks you through the creation of a simple automation framework with each of these three languages. Learn how to install the necessary tools—including the dependency manager, unit test framework, and libraries for each language—and start writing tests. The end result is a viable MVP you can use to evaluate your options or develop into your own custom solution.",Course,2026-03-17 15:59 UTC,2025-10-08 00:03 UTC,false,N/A,
Visual Studio: Mobile Center esencial,"Crea y desarrollar aplicaciones móviles potentes y de calidad de manera sencilla. Aprenderás a utilizar la compilación firmada desde código fuente, tests predefinidos o personalizados en dispositivos reales, recolección de estadísticas de uso y errores durante la ejecución y gestión de envío de notificaciones push. Con Visual Studio Mobile Center, utilizando todas las características de la plataforma, te despreocuparás de aspectos como la distribución o la ejecución de los tests, y solo necesitarás escribir código y tests de calidad que Mobile Center ejecutará por ti de manera automática.",Course,2020-10-29 13:45 UTC,N/A,false,N/A,
Microservices: Design Patterns,"<p>Design patterns save developers from needing to puzzle out solutions to problems that others in their industry have already encountered and solved. In this course, get up to speed with over a variety of different design patterns that you can leverage when building and operating microservices, as well as the common problems they can help you remedy. Instructor Frank Moley goes over decomposition, integration, data, and operational patterns, tying each pattern to the problem it solves. Learn about the API gateway pattern that can prevent chaos by providing a buffer between underlying services and client needs, the sidecar pattern that allows you to offload processing of some kind to a separate module, and much more.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/microservices-foundations-professional-certificate-by-kong"" target=""_blank"">Professional Certificate</a> from Kong.</p>",Course,N/A,N/A,true,N/A,
Cómo eliminar las distracciones,"El mundo está repleto de distracciones. Con todas las notificaciones de los dispositivos sonando, es más difícil centrarnos en lo importante. Sin embargo, la concentración es fundamental para completar nuestras tareas y avanzar. En este curso, Arianna Huffington te presenta a Nir Eyal, el autor de «Enganchado, cómo construir productos y servicios exitosos que formen hábitos», que te explica cómo mantener la concentración, una de las habilidades más importantes de este siglo. Nir te cuenta por qué la tecnología no es el único hábito que tienes que dominar, y cómo influyen en nuestra atención la cultura laboral, las normas sociales y el comportamiento de los demás. Descubre por qué debes conocer los estímulos externos y los impulsos internos para reaccionar mejor, y algunos trucos prácticos que te ayudarán a manejar las distracciones más frecuentes, como el correo electrónico, y a reducir interrupciones innecesarias.",Course,2022-04-23 12:12 UTC,N/A,false,N/A,
Learning Jenkins (2018),"Meet Jenkins, the open-source automation tool for software development and system administration. With Jenkins, you can automate build management, continuous integration and deployment, testing, resource management, monitoring and reporting, and much more. This introduction helps you use Jenkins to release and deploy software more quickly and reliably. <br><br>

First, learn how to set up Jenkins on Mac, Windows, Linux, or inside a Docker container, and find out how Jenkins plugins are used to extend its functionality. Next, configure your first job step by step, leading up to the requisite ""Hello, World"" output, and learn to make your jobs more useful and portable with parameters. Then explore job scheduling, and Jenkins's convenient aliases for running jobs at regular intervals. The course wraps up with tips for organizing jobs in folders and views and a brief look into pipelines as code-which enable you to execute a series of jobs in stages.<br><br>

By the end of the training, you should be able to install Jenkins locally or on a virtual machine, create a Jenkins jobs that can be triggered manually or on a schedule, and install and configure plugins to extend the Jenkins framework.",Course,N/A,N/A,true,N/A,
AWS Certified Solutions Architect - Associate (SAA-C03) Cert Prep: 6 Auto Scaling and Virtual Network Services,"<p>In this course, explore the AWS auto scaling solutions and virtual network services. Instructor Tom Carpenter starts with an overview of auto scaling, then explores load balancer concepts and Elastic Load Balancing. Tom then moves into virtual network services, including DNA, Route 53, and flow logs. This course provides foundational instruction for anyone beginning their journey as an AWS architect, and also provides essential instruction for anyone preparing for the AWS Solutions Architect – Associate exam.</p><p>This Total Seminars course covers the exam certification topics. For information on additional study resources—including practice tests, lab simulations, books, and discounted exam vouchers—visit <a href=""https://www.totalsem.com/linkedin/"" target=""_blank"">totalsem.com/linkedin</a>. LinkedIn Learning members receive special pricing.</p><p>This course was created by Total Seminars. We are pleased to offer this training in our library.</p>",Course,2025-01-28 21:14 UTC,N/A,false,N/A,
Design Thinking: Inteligencia de datos,"Descubre cómo la inteligencia de datos, dentro del marco de la metodología design thinking, puede ayudar a que tus proyectos basados en recopilar y analizar gran cantidad de datos tengan más valor para tu empresa y tus clientes, ahorrando tiempo y dinero en su ejecución. Entiende por qué esta metodología de trabajo estimula el proceso creativo, el pensamiento lateral, el trabajo colaborativo y la resolución creativa de problemas, y cómo y por qué es el futuro de la producción y el análisis de datos. Finalmente, aprende a aplicarlo con éxito, paso a paso y de forma práctica, para que sea eficaz según tus propias necesidades.",Course,2022-05-31 15:02 UTC,N/A,false,N/A,
Scrum esencial ,"Aprende las bases y principios para el uso de Scrum en la gestión de proyectos con este curso cargado de información sobre los fundamentos de este marco de trabajo, sus conceptos básicos y roles, así como las herramientas que necesitarás para su implementación tanto individualmente como en equipos ágiles. Scrum mejorará la forma en la que trabajas en equipo y finalizas proyectos, y estás a un paso de esta revolución productiva.",Course,2025-02-11 23:04 UTC,2025-02-11 23:01 UTC,false,N/A,
Advanced Selenium: 3 Synchronization Strategies,"One of the most common issues associated with automating GUI applications is flakiness: when sometimes a test works, but sometimes it fails—even though neither the application nor the test changed. One of the most common causes of intermittent execution is a failure to synchronize effectively. In this course, learn how to avoid flaky tests by effectively synchronizing your test code with the application state using Selenium WebDriver. Instructor Alan Richardson shares fixes to common problems and discusses the range of solutions available to help make WebDriver test automation robust and reliable. Discover how to use built-in WebDriver classes such as WebDriverWait, as well as external libraries like Awaitility. Plus, learn how to use JavascriptExecutor to run JavaScript as part of your WebDriver code; this can help you create workarounds and synchronize against internal application state.",Course,2021-05-03 17:34 UTC,N/A,false,N/A,
Azure AZ-900 Prep. Cert.: Microsoft Azure Fundamentals,"Aprende los conceptos fundamentales del servicio en la nube de Microsoft, Microsoft Azure, su teoría relacionada y sus modelos de cómputo, mientras te preparas para el examen de certificación AZ-900 ""Microsoft Azure Fundamentals"". El contenido de este curso representa una guía de estudio completa y está basado en la guía de estudio oficial publicada por Microsoft, para que puedas practicar de la manera más próxima posible a la prueba real y garantizar así que la superes con éxito.",Course,2021-05-16 13:38 UTC,N/A,false,N/A,
ASP.NET Core in .NET 6: Dependency Injection,"If you’re a .NET developer or looking to enter the field, it’s essential to have a working understanding of dependency injection, a software development design pattern that allows for having objects that are not dependent on each other. In this course, .NET C# programmer David Grace provides an introduction to dependency injection, from configuration to implementation. He also talks through the advantages of DI and why you should use it. David shows how to implement dependency injection into a real-life example using an ASP.NET Core app, and details the use methods within it. He also looks at the common errors when using dependency injection and how to resolve them.",Course,2026-01-20 20:38 UTC,2026-01-19 20:03 UTC,false,N/A,
DevOps con un café,"Entiende qué es y cómo funciona DevOps, un acrónimo inglés de ""development"" (desarrollo) y ""operations"" (operaciones). Conoce en solo cuatro vídeos esta metodología de desarrollo de software que se centra en la comunicación, colaboración e integración entre los desarrolladores de software y los profesionales de sistemas de tecnologías de la información.

Estos cuatro vídeos corresponden a los cursos:<br><br>

<li><a href=""https://www.linkedin.com/learning/devops-esencial"" target=""_blank"">DevOps esencial</a></li><br>
<li><a href=""https://www.linkedin.com/learning/azure-devops-y-vsts-esencial"" target=""_blank"">Azure: DevOps y VSTS esencial</a></li>",Course,2021-07-05 17:07 UTC,N/A,false,N/A,
Trucos creativos para líderes,"Este curso contiene pequeñas dosis de ideas y herramientas para estimular tu creatividad, mantener tus conexiones neuronales bien afinadas, y crear hábitos creativos que puedas utilizar de manera personal en tu día a día y compartir con tu equipo de trabajo. Todos los ejercicios son totalmente prácticos, y puedes ajustarlos sin problema a tus necesidades y proyectos. Prepárate para jugar con papel y hacer garabatos como cuando eras pequeño y lo único que necesitabas era un pequeño estímulo para darle rienda suelta a tu creatividad.",Course,2021-04-05 12:46 UTC,N/A,false,N/A,
Excel Online esencial (Office/Microsoft 365),"Si ya utilizas Excel de escritorio pero necesitas utilizar Excel Online para añadir un plus de movilidad y colaboración a tus tareas, este curso es para ti. Aprenderás cómo funciona la versión online de Excel y a utilizarla con soltura y confianza desde cualquier dispositivo con conexión a Internet. También verás, paso a paso y con ejemplos, cómo se realiza un trabajo colaborativo, en coautoría, y las opciones de comunicación con comentarios para hacerlo cómodamente. Así mismo, comprenderás cómo se integra esta herramienta, con sus distintas versiones gratuitas, online y de pago, y con las demás soluciones de Office 365/Microsoft 365.",Course,2021-08-10 03:06 UTC,N/A,false,N/A,
Test Automation with Selenium WebDriver for Java,"<p>Selenium WebDriver is a trusted, open-source tool that's great for anyone looking to automate web applications. In this course, learn from certified Java developer Angie Jones to master Selenium WebDriver for efficient web testing. Angie guides you through locating and interacting with web elements, managing element states, and implementing effective wait strategies. Also, dive into browser interactions, use of Actions APIs, and the Page Object Model for creating maintainable test frameworks. With hands-on challenges in each chapter, this course ensures you gain practical experience and confidence in automating web tests.</p>
<p>This course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With GitHub Codespaces, you can get hands-on practice from any machine, at any time—all while using a tool that you’ll likely encounter in the workplace. Check out the “Using GitHub Codespaces” video to learn how to get started.</p>",Course,2026-05-20 16:01 UTC,N/A,false,N/A,
Windows 10 Anniversary Update,"Con este curso queremos acercarte a la importante actualización que ha experimentado Windows 10 en la Anniversary Update. Se trata de un paso de gigante que Microsoft ha querido dar para ser más competitivo, si cabe, en cuanto a su sistema operativo. Hay múltiples cambios y avances, pero los apartados que más novedades ofrecen son el navegador Edge y la utilización de lápices digitales en aplicaciones de dibujo a mano alzada. Además, encontraremos nuevas características en Cortana, Windows Defender y Menú Inicio, así como muchas nuevas posibilidades de configuración referidas a aspectos visuales y de facilidad de uso.",Course,2019-04-17 10:36 UTC,N/A,false,N/A,
Software Architecture: Patterns for Developers (2020),"As a developer, you're ultimately building software to solve problems for your users. But a successful application also needs to be easy for you and other developers to work with. Enter software architecture patterns. These trusted solutions allow you to translate complex architectural problems to recognizable patterns. In this course, instructor Peter Morlion covers a variety of software architecture patterns, showing you how to apply the correct architecture to new systems and recognize patterns in existing systems. Peter goes over application landscape patterns such as microservices. He also covers application structure patterns like event sourcing, as well as UI patterns like model-view-controller (MVC). Along the way, he shares pros and cons that help you determine which patterns to use.",Course,2021-05-12 12:39 UTC,N/A,false,N/A,
Learning npm: A Package Manager,"<p>npm is an indispensable part of every developer's toolbox. It's the package manager for JavaScript and JavaScript frameworks such as Node.js, enabling developers to easily share and re-use code. In this course, Emmanuel Henri teaches developers how to work with npm commands to install and manage project dependencies. He starts with showing how to install npm, and details all the basic tools you can use with npm, such as adding, updating, or removing a package. Emmanuel then shows you how to take your skills to the next level, taking a dive deep into advanced features like npm cache, audits, scripting, and more.</p>
<p>This course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With GitHub Codespaces, you can get hands-on practice from any machine, at any time—all while using a tool that you’ll likely encounter in the workplace. Check out the “Using GitHub Codespaces with this course” video to learn how to get started.</p>",Course,2024-07-29 00:54 UTC,N/A,false,N/A,
Azure AZ-304 Prep. Cert.: Microsoft Azure Architect Design,"Prepárate para superar con todas las garantías de éxito el examen para la certificación Microsoft Certified: Azure Solutions Architect Expert. Este contenido formativo de LinkedIn Learning te ayudará a repasar en profundidad cada tema incluido en la guía oficial del examen AZ-304. Aprenderás todo lo necesario sobre diseño de soluciones para la nube con Microsoft Azure, especialmente lo que se preguntará en el examen. ¡Empecemos cuanto antes tu camino a obtener esta importante certificación profesional!",Course,2021-11-25 00:19 UTC,N/A,false,N/A,
Azure: Fundamentos de seguridad,"Descubre los conceptos y servicios más importantes relacionados con la gestión de seguridad de Azure. Durante este contenido formativo, empezarás recibiendo una introducción acerca de la seguridad en Azure y sus conceptos más destacados. Posteriormente, aprenderás sobre la gestión de identidades, los conceptos de seguridad en grupos semánticos bien definidos como redes, cómputos, almacenamiento o bases de datos y, por último, repasarás las herramientas de operaciones de seguridad que debes dominar.",Course,2022-04-01 15:20 UTC,N/A,false,N/A,
Building Web APIs with ASP.NET Core 8,"Modern web applications provide much of their functionality in an API. In this course, Christian Wenz—a web pioneer, technology specialist, and entrepreneur—shows you how to design and implement such an API using ASP.NET Core 8. Get started with minimal APIs and the basics of HTTP, REST, and API design. Learn how to retrieve and write data, and practice what you learn with hands-on challenges.",Course,2026-02-19 20:24 UTC,2026-02-19 20:21 UTC,false,N/A,
Be the Manager People Won't Leave (2024),"<div><a href=""https://www.linkedin.com/newsletters/6457790820677410816?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Laurie's LinkedIn Newsletter</a></div><p>With the ""Great Reshuffle,"" employees are quitting their jobs at the highest rates in over 20 years, and 41% of the global workforce is considering leaving their jobs. Manager relationships are becoming the make-or-break point for whether employees stay or go. Join veteran HR leader Laurie Ruettimann as she reveals the data behind why it's more important than ever to be a manager who demonstrates empathy and inspires loyalty from the workforce. Laurie covers basics first: be someone people can trust, be an example of integrity, and be relentlessly inclusive. She steps you through ways to inspire your employees to grow. Laurie finishes up by showing you how you can help your team members love their work by being a next-level mentor, a fun-loving boss, and a leader who is genuinely invested in your employees’ well-being.</p>",Course,2023-10-05 21:25 UTC,N/A,false,N/A,
Managing Jira Projects: 3 Helpful Concepts and Features,"How does Jira automation work, and what other concepts, features, and configurations can you employ to use Jira more effectively? In this course—the third in the <i>Managing Jira Projects</i> series—discover the core elements of Jira automation and automate some of the work in your Jira project. Learn how to alter your kanban board. Then explore other concepts and features like shared configuration, running parallel sprints, and facilitating agile at scale. Find out how to create and configure next-gen projects, including controlling access, adding issues, and customizing project features.<br><br>Note: This course can help prepare you for the <i>Managing Jira Cloud Projects</i> certification exam. To learn more about how to earn your first Atlassian credential, click <a href=""https://university.atlassian.com/student/page/840992-acp-620-managing-jira-cloud-projects-certification?utm_source=linkedin-learning&utm_medium=comarketing&utm_campaign=P:uni-training*O:university*C:bio*I:linkedin-learning*"" target=""_blank"">here</a>. To check out other Atlassian University courses about Jira workflows, reporting, automation, and more, click <a href=""https://university.atlassian.com/student/catalog/list?category_ids=21560-jira-software?utm_source=linkedin-learning&utm_medium=comarketing&utm_campaign=P:uni-training*O:university*C:bio*I:linkedin-learning*"" target=""_blank"">here</a>.",Course,2024-03-23 11:39 UTC,N/A,false,N/A,
Developing Secure Software,"<p>Software developers know how essential secure coding practices are. Luckily, with today's tools, secure code doesn't take a lot of time or effort. There are security frameworks for developers to use. Static and dynamic code analysis tools to test code are available, as well as security patterns that can be implemented at the design level.</p>

<p>In this course, Jungwoo Ryoo, who teaches IT, cyber security, and risk analysis at Penn State, introduces secure software development tools and frameworks and teaches secure coding practices like input validation, separation of concerns, and single access point. Learn how to recognize different kinds of security threats and fortify your code. Find out how to put a system in place to test your software for vulnerabilities. Plus, explore new trends in software security and reinforce what you’ve learned with demos and case studies.</p>",Course,2024-11-06 12:35 UTC,N/A,false,N/A,
C#: Programación orientada a objetos,"La programación orientada a objetos es el paradigma utilizado en el desarrollo de software que permite crear y mantener sistemas robustos como los videojuegos, sistemas operativos, plataformas de comercio y cualquier software de tamaño mediano a grande. En este curso aprenderás los conceptos principales necesarios para desarrollar sistemas con C# basados en este paradigma. Conocerás a fondo y con lujo de detalle los conceptos que marcan la diferencia en el desarrollo de un sistema y llevarás la teoría de la programación orientada a objetos a la práctica.",Course,2026-01-29 19:10 UTC,2026-01-29 14:31 UTC,false,N/A,
.NET esencial (2019),"Conoce las características fundamentales de .NET. Aprende los conceptos esenciales que hacen del framework .NET una plataforma de desarrollo estratégica y por qué permite un rápido desarrollo de aplicaciones. Entiende sus componentes, conoce sus herramientas y funcionalidades, y descubre su historia y su futuro inmediato.",Course,2022-01-04 13:29 UTC,N/A,false,N/A,
GitHub para programadores,"Los equipos de desarrollo modernos necesitan que muchas personas trabajen sobre un mismo código sin generar errores o conflictos. Sin embargo, sin las herramientas adecuadas, esta tarea puede ser casi imposible. Afortunadamente tenemos GitHub, un servicio de control de versiones online que te permite almacenar, gestionar y distribuir tu código. En este curso aprenderás los conceptos básicos del control de versiones Git, los servicios que ofrece GitHub, como crear, gestionar y examinar nuestros repositorios online. Descubrirás diversas formas de utilizar el servicio de GitHub y exploraremos las funciones más comunes de este servicio. Al finalizar este curso estarás a punto para trabajar tu código fuente en equipo con seguridad y la tranquilidad de tener siempre un respaldo en la nube.",Course,2021-07-02 13:06 UTC,N/A,false,N/A,
JavaScript: TDD y pruebas unitarias esencial,"Descubre los tests de código y cómo mejoran la calidad del mismo. A lo largo de este contenido entenderás por qué son necesarios, cómo se implementan y cómo se programan y e integran en el flujo de trabajo de desarrollo con Java. Explorarás diferentes librerías para test de diferentes tipos, cómo se haría la integración de esos tests en el flujo de trabajo e incluso cómo integrarlos en algunos frameworks. No te lo pienses más y exprime todo el potencial de los TDD y pruebas unitarias con este curso.",Course,2021-07-18 14:09 UTC,N/A,false,N/A,
Angular avanzado: Trabajo con API,"Comprende cómo funciona una API (interfaz de programación de aplicaciones) y cómo controlarla desde Angular, uno de los framework JavaScript más utilizados y respetados del mundo. Aprende en este curso usando una aplicación real que puedes utilizar como base para tus proyectos personales utilizando Angular, famoso en gran parte debido a su facilidad de integración con APIs.",Course,2021-12-06 23:35 UTC,N/A,true,N/A,
Cómo aumentar la resiliencia (2016),"¿Tienes problemas para arreglártelas cuando las cosas se ponen difíciles? Todos queremos dar lo mejor de nosotros mismos cuando nos sentimos presionados, pero, en épocas de estrés o adversidad, muchos de nosotros nos rendimos. Si puedes desarrollar tu resiliencia, te será más fácil enfrentarte a nuevos problemas y adquirir una capacidad muy valiosa que ofrecerles a tus empleados. En este curso, la profesora y asesora de comunicación de la Escuela de Negocios Kelley Tatiana Kolovou te explica cómo volver a encarrilarte después de situaciones difíciles gracias al desarrollo de tu «umbral de resistencia», te describirá cinco técnicas de aprendizaje para prepararte para situaciones difíciles y cinco estrategias para que reflexiones sobre ellas. Descubre cuál es tu escala de resiliencia, identifica hasta qué punto quieres llegar y aprende las estrategias necesarias para cubrir ese espacio.",Course,2020-05-18 01:01 UTC,N/A,false,N/A,
Expert Domain-Driven Design (DDD) Implementation in .NET,"This course is aimed at .NET developers and architects interested in applying domain-driven design (DDD) in their projects. Instructor Rodrigo Díaz Concha takes you through the steps for creating a solution for a fictional pet medicine company to show you practical techniques to implement DDD using .NET and C#. Learn about using entities, value objects, aggregates, domain events, and more. This course is ideal for those looking to integrate DDD strategies and tools into their development solutions, as well as for software architects and .NET project stakeholders who want to understand how to implement DDD in their current or future initiatives.",Course,2026-01-28 10:34 UTC,N/A,false,N/A,
Project: Gestión de proyectos ágiles (2019),"En este curso, estudiaremos las características ágiles integradas en Project Online Profesional. Si tus proyectos a menudo acaban siendo una combinación entre una parte ágil y otra en cascada tradicional, puedes aplicar técnicas ágiles con Microsoft Project, e incluso administrar las tareas programadas de manera tradicional y el trabajo ágil en paralelo dentro del mismo archivo de proyecto. Vamos a ver dos enfoques ágiles típicos: Scrum y Kanban. La transformación digital está revolucionando el panorama empresarial y la incorporación de las metodologías ágiles en nuestros proyectos es tan necesaria como beneficiosa. Planifica, rastrea y administra tus proyectos ágiles con Microsoft Project.",Course,2023-09-04 23:16 UTC,2021-04-18 15:33 UTC,false,N/A,
